Listing Name,Rent,Room Type,Number of Reviews,Location
Great Chelsea Room,90,Private room,44 reviews,"Chelsea, New York"
Cozy West Village apartment,150,Entire home/apt,2 reviews,"West Village, New York"
Cozy Harlem Bedroom!,54,Private room,15 reviews,"Harlem, New York"
FAB BKLYN ROOM&BATH&OWN ENTRANCE,110,Private room,53 reviews,"Fort Greene, Brooklyn"
Pretty room studio !,60,Private room,25 reviews,"Astoria, Queens"
Best Private Room in Williamsburg!,99,Private room,6 reviews,"Williamsburg, Brooklyn"
Large UWS Apt close to Central Park,110,Private room,45 reviews,"Upper West Side, New York"
Sun-filled room in Boerum Hill,75,Private room,19 reviews,"Boerum Hill, Brooklyn"
Unique Village Gem with Roof Garden,250,Entire home/apt,23 reviews,"West Village, New York"
"Large bedroom, private bathroom UWS",98,Private room,51 reviews,"Upper West Side, New York"
Cozy Harlem Room for 2 Central Park,100,Private room,8 reviews,"Harlem, New York"
Modern 3Bedroom /Sleep 8/ East 1st,400,Entire home/apt,3 reviews,"East Village, New York"
Luxurious & Sunny 1BR MidtownWest,195,Entire home/apt,47 reviews,"Midtown, New York"
The Perfect East Village 1 Bdrm Apt,189,Entire home/apt,32 reviews,"Gramercy Park, New York"
Spacious room in Brooklyn.,75,Private room,18 reviews,"Crown Heights, Brooklyn"
Chelsea 2BD with Terrace,469,Entire home/apt,37 reviews,"Chelsea, New York"
AWESOME 2BR UPPER WEST SIDE HOME!!!,240,Entire home/apt,117 reviews,"Upper West Side, New York"
Million Dollar listing: Chelsea,225,Entire home/apt,19 reviews,"Chelsea, New York"
